trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-107.89419058160433,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,0,-79.62905420170443,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,0,-55.33736784673001,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,8,-125.82866260319551,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,2,-62.14535636529606,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-48.67526813430023,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",30,0,-40.526984825463465,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,0,-139.1201199549922,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,3.932257758291461,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",30,13,-19.030984581774163,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,2,-16.933746409760804,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-8.305683983853932,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-32.76399264667371,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",25,13,-3.269645022509055,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",20,0,-34.26552407831106,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",25,0,-65.35289838574973,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",30,21,8.005591685468815,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",30,12,-76.25171001728826,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,6,-49.046506521357074,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,9,-5.828681188969661,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,6,-23.990928721689343,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",20,16,4.621383463592845,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,10,4.755441783804277,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-75.71093831417663,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,12,-12.230021165038982,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",30,5,-17.74800659566604,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,2,-49.42764476549186,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,0,-68.33766810666687,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,0,-48.345530376891745,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,0,-146.28786821270458,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,17,3.6878237146613095,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,16,14.990809180706965,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",30,13,-17.297696245545314,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,10,-2.225360566626441,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-29.61691864654191,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",30,20,12.17180873800904,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,14,9.59080223979553,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,8,-87.8900366948475,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.475340042005707}",20,0,-27.30226136930635,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",30,0,-83.94565468766774,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",20,13,-3.963550271770363,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",20,13,-11.386268980052069,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",25,0,5.007482056208995,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",20,0,-99.76210368947072,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,0,18.72208367167363,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,0,-37.673997219617405,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,3,-0.792244198340192,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",25,0,-59.28445032858309,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",20,12,12.33758506706369,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",25,14,26.95371118646796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",20,0,-32.84835397247769,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",30,0,-3.7101788761146053,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",30,13,-9.523336148965129,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",35,8,-0.46774878133771924,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",25,19,10.19633625233608,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",25,0,-110.83695942215944,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",30,3,-23.472542964586626,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.392711028357805}",20,0,15.408260316098065,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,10,-19.467589194508832,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",20,3,-38.19989031037686,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",35,18,-23.009452895662598,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",20,0,-2.760616135972577,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",20,0,-21.707309332464494,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",20,4,0.45200930266213657,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",25,7,-32.11524359360038,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",20,10,1.2279269211977186,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",20,10,4.496674739888662,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",25,0,-47.21851892337516,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",35,12,-2.510546826030123,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",25,11,-31.230452695760196,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",35,24,16.31923969517737,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,17,15.39482743934098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,12,4.4049760576404005,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",30,16,-27.527622839261422,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,7,-5.046902563427656,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,5,-22.604530421412626,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",20,6,-44.0878799672558,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,0,19.082288179324454,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",30,14,23.910599226785667,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,13,13.324253797727781,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,0,-27.453160653206623,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,2,2.573851335668479,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,5,4.5168466502955775,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,1,-0.4865152630475513,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",30,13,21.021796010483094,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",25,7,7.187703454341936,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",25,6,8.110440649682934,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,14,-19.164672369644087,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",25,14,-1.7746289299063784,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",20,0,-7.401355890146497,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,13,2.5103772036495524,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",20,11,3.4278266674131546,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",25,11,-16.469909905622302,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
